nsn,fsc,niin,nomenclature,inc,sos,cancelled,cancelled_niin,amc,amsc,aac,competable,competability_notes,unit_price,ui,slc,ciic,dmil,hmic,hcc,crit_cd,approved_cage,approved_part,cage_company,cage_city,cage_state,cage_status,vendor_name,contact_name,contact_email,contact_phone,website,is_small_business,is_woman_owned,is_veteran_owned,qty,delivery_days,solicitation,purchase_request,source_file
1560-01-221-2617,1560,012212617,"SUPPORT ASSEMBLY,AFT TIE ROD",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,78286,70400-08112-046,SIKORSKY AIRCRAFT CORPORATION DBA SIKORSKY AIRCRAFT CORP,STRATFORD,CT,A,,,,,,,,,,,,,as260723.txt
1560-01-533-6066,1560,015336066,"DOOR,ACCESS,AIRCRAFT",51576,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,062W0,1291M28G13,"GE ENGINE SERVICES DISTRIBUTION, L.L.C.",CINCINNATI,OH,A,,,,,,,,,,,,,as260723.txt
1560-01-533-6066,1560,015336066,"DOOR,ACCESS,AIRCRAFT",51576,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,1B6R3,1291M28G13,"STE MRAS, LLC",BALTIMORE,MD,A,,,,,,,,,,,,,as260723.txt
1560-01-664-4104,1560,016644104,"PANEL,STRUCTURAL,AIRCRAFT",35987,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,54786,105539-1,BAE SYSTEMS LAND & ARMAMENTS L.P.,PHOENIX,AZ,A,,,,,,,,,,,,,as260723.txt
1560-01-684-4861,1560,016844861,"BOOM,AIRCRAFT",41021,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,81205,842-349510-4,THE BOEING COMPANY DIV DEFENSE,TUKWILA,WA,A,,,,,,,,,,,,,as260723.txt
1560-01-688-2236,1560,016882236,"PANEL,STRUCTURAL,AIRCRAFT",35987,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,81205,113T1617Y103,THE BOEING COMPANY DIV DEFENSE,TUKWILA,WA,A,,,,,,,,,,,,,as260723.txt
1560-01-693-5880,1560,016935880,"LATCH ASSEMBLY,AIRCRAFT",50146,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,7QT37,CP05-401-GRY1,"FUTUREFLITE, INC",LA CRESCENTA,CA,A,,,,,,,,,,,,,as260723.txt
1560-01-730-9455,1560,017309455,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,0C7H8,35-18076-1,D-J ENGINEERING INC DBA D-J ENGINEERING INC,AUGUSTA,KS,A,D-J ENGINEERING INC,MATT JIRAK,MJirak@djgrp.com,3167751212,http://www.djgrp.com,f,f,t,,,,,as260723.txt
1560-01-730-9455,1560,017309455,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,81205,35-18076-1,THE BOEING COMPANY DIV DEFENSE,TUKWILA,WA,A,,,,,,,,,,,,,as260723.txt
1560-01-730-9455,1560,017309455,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,9TJW8,35-18076-1,HOWARD & ASSOCIATES INC,OKLAHOMA CITY,OK,A,HOWARD & ASSOCIATES INC,DOUGLASS HOWARD,doug@howardarch.com,4058338465,,f,f,f,,,,,as260723.txt
1560-20-014-0593,1560,200140593,,,,false,,,,,unknown,No MOE rule,,,,,,,,,L0171,AAL-061-210-003,ALPINE AEROTECH LIMITED PARTNERSHIP,KELOWNA,BC,A,,,,,,,,,,,,,as260723.txt
1560-LL-CFQ-B165,1560,LLCFQB165,,,,false,,,,,unknown,No MOE rule,,,,,,,,,97499,901-060-380-101,BELL TEXTRON INC,FORT WORTH,TX,A,,,,,,,,,,,,,as260723.txt
1560-LL-NC0-8266,1560,LLNC08266,,,,false,,,,,unknown,No MOE rule,,,,,,,,,78286,65207-10042-152,SIKORSKY AIRCRAFT CORPORATION DBA SIKORSKY AIRCRAFT CORP,STRATFORD,CT,A,,,,,,,,,,,,,as260723.txt
1560-LL-NC1-5516,1560,LLNC15516,,,,false,,,,,unknown,No MOE rule,,,,,,,,,78286,65664-06312-046,SIKORSKY AIRCRAFT CORPORATION DBA SIKORSKY AIRCRAFT CORP,STRATFORD,CT,A,,,,,,,,,,,,,as260723.txt
1560-LL-NCB-0614,1560,LLNCB0614,,,,false,,,,,unknown,No MOE rule,,,,,,,,,97499,204-030-881-014,BELL TEXTRON INC,FORT WORTH,TX,A,,,,,,,,,,,,,as260723.txt
1560-LL-NCB-0614,1560,LLNCB0614,,,,false,,,,,unknown,No MOE rule,,,,,,,,,97499,204-030-881-14,BELL TEXTRON INC,FORT WORTH,TX,A,,,,,,,,,,,,,as260723.txt
1560-LL-NCB-1495,1560,LLNCB1495,,,,false,,,,,unknown,No MOE rule,,,,,,,,,78286,65207-10037-101,SIKORSKY AIRCRAFT CORPORATION DBA SIKORSKY AIRCRAFT CORP,STRATFORD,CT,A,,,,,,,,,,,,,as260723.txt
1560-LN-003-4752,1560,LN0034752,,,,false,,,,,unknown,No MOE rule,,,,,,,,,97499,901-069-114-405,BELL TEXTRON INC,FORT WORTH,TX,A,,,,,,,,,,,,,as260723.txt
1615-01-235-7920,1615,012357920,SHORT SHAFT ASSY,77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,97499,204-040-433-101,BELL TEXTRON INC,FORT WORTH,TX,A,,,,,,,,,,,,,as260723.txt
1620-01-014-5294,1620,010145294,"ROD,PISTON,LANDING GEAR",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,81205,65-22118,THE BOEING COMPANY DIV DEFENSE,TUKWILA,WA,A,,,,,,,,,,,,,as260723.txt
1630-00-136-5521,1630,001365521,"PISTON ASSY,BRAKE S",77777,SMS,false,,3,C,,false,Sole source — manufacturer only,"$3,829.69",EA,0,U,A,P,,,99643,17213-3,EATON AEROSPACE LLC DBA EATON AEROSPACE JACKSON,LOS ANGELES,CA,A,,,,,,,,,,,,,as260723.txt
1630-00-909-1014,1630,009091014,"DISC,BRAKE",60405,SMS,false,,,,,unknown,No MOE rule,"$2,115.48",EA,0,7,,,,,26437,W2F23759-3,"TRIUMPH ACTUATION SYSTEMS, LLC DIV TRIUMPH ACTUATION SYSTEMS - FREEPORT",FREEPORT,NY,A,,,,,,,,,,,,,as260723.txt
1640-01-625-7282,1640,016257282,"WIRE ROPE ASSEMBLY,SINGLE LEG,AV",67311,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,06970,BACC13AH602-3422,CABLECRAFT MOTION CONTROLS LLC,TACOMA,WA,A,,,,,,,,,,,,,as260723.txt
1640-01-625-7282,1640,016257282,"WIRE ROPE ASSEMBLY,SINGLE LEG,AV",67311,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,0H380,BACC13AH602-3422,ACHILLES AEROSPACE PRODUCTS INCORPORATED,TWINSBURG,OH,A,ACHILLES AEROSPACE PRODUCTS INCORPORATED,DAVID HOYACK,david.hoyack@achillesaerospace.com,3304258444,https://www.achillesaerospace.com,f,f,f,,,,,as260723.txt
1640-01-625-7282,1640,016257282,"WIRE ROPE ASSEMBLY,SINGLE LEG,AV",67311,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,26590,BACC13AH602-3422,HOOD INDUSTRIES,BAKERSFIELD,CA,A,,,,,,,,,,,,,as260723.txt
1640-01-625-7282,1640,016257282,"WIRE ROPE ASSEMBLY,SINGLE LEG,AV",67311,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,31293,BACC13AH602-3422,UNIVERSITY SWAGING CORPORATION LLC DBA UNIVERSITY SC LLC DBA UNIVERSITY SC LLC DIV UNIVERSITY SWAGING CORPORATION LLC,WOODINVILLE,WA,A,,,,,,,,,,,,,as260723.txt
1640-01-625-7282,1640,016257282,"WIRE ROPE ASSEMBLY,SINGLE LEG,AV",67311,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,3CW15,BACC13AH602-3422,"TRIUMPH CONTROLS, LLC",SHELBYVILLE,IN,A,,,,,,,,,,,,,as260723.txt
1640-01-625-7282,1640,016257282,"WIRE ROPE ASSEMBLY,SINGLE LEG,AV",67311,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,59157,BACC13AH602-3422,LOOS & CO INC,POMFRET CENTER,CT,A,LOOS & CO INC,HARRY DURAND,harry.durand@loosco.com,8606304255,http://www.loosco.com,f,f,f,,,,,as260723.txt
1640-01-625-7282,1640,016257282,"WIRE ROPE ASSEMBLY,SINGLE LEG,AV",67311,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,70958,BACC13AH602-3422,"BERGEN CABLE TECHNOLOGY, INC.",FAIRFIELD,NJ,A,"BERGEN CABLE TECHNOLOGY, INC.",STEVEN KLECHA,stevek@bergencable.com,9733810815,http://www.bergencable.com,f,f,t,,,,,as260723.txt
1650-00-098-4038,1650,000984038,"HOUSING,BEARING,OIL",77777,SMS,false,,3,P,,false,Sole source — manufacturer only,$153.45,EA,0,U,Q,N,,X,62983,159185,"EATON AEROSPACE, LLC DBA JACKSON SOUTH",JACKSON,MS,A,,,,,,,,,,,,,as260723.txt
1650-00-456-0436,1650,004560436,"LINK AND PIN,HYDRAULIC",77777,SMS,false,,3,P,,false,Sole source — manufacturer only,$419.90,EA,0,U,,,,,62983,324597,"EATON AEROSPACE, LLC DBA JACKSON SOUTH",JACKSON,MS,A,,,,,,,,,,,,,as260723.txt
1650-01-542-0198,1650,015420198,"STRAP ASSY,AIRCRAFT",77777,SMS,true,016060784,,,,unknown,No MOE rule,,,,,,,,,68692,4950205,IPI MEDICAL PRODUCTS,CHICAGO,IL,A,,,,,,,,,,,,,as260723.txt
1650-01-542-0198,1650,015420198,"STRAP ASSY,AIRCRAFT",77777,SMS,true,016060784,,,,unknown,No MOE rule,,,,,,,,,95270,5235B150-3,SKURKA AEROSPACE INC DBA SKURKA AEROSPACE INC,CAMARILLO,CA,A,,,,,,,,,,,,,as260723.txt
1660-00-425-6077,1660,004256077,"SENSOR,CONTROL,AIR",77777,SMS,false,,3,Z,,false,Sole source — manufacturer only,"$6,657.14",EA,0,U,,,,,97499,212-070-444-001,BELL TEXTRON INC,FORT WORTH,TX,A,,,,,,,,,,,,,as260723.txt
1660-00-425-6077,1660,004256077,"SENSOR,CONTROL,AIR",77777,SMS,false,,3,Z,,false,Sole source — manufacturer only,"$6,657.14",EA,0,U,,,,,97499,212-070-444-1,BELL TEXTRON INC,FORT WORTH,TX,A,,,,,,,,,,,,,as260723.txt
1660-00-884-9211,1660,008849211,"SUPPORT,CONDENSER,W",77777,SMS,false,,,,,unknown,No MOE rule,"$14,275.63",EA,0,U,,,,,70210,176445:1030,HONEYWELL INTERNATIONAL INC.,TORRANCE,CA,A,,,,,,,,,,,,,as260723.txt
1660-01-020-1918,1660,010201918,"CELL ASSEMBLY,OUTLET",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,16630,32E03-0000-2,LIMCO AIREPAIR INC.,TULSA,OK,A,LIMCO AIREPAIR INC.,TONYA FERGUSON,tferguson@limcoairepair.com,9184454331,http://www.limcoairepair.com,f,f,f,,,,,as260723.txt
1660-01-341-9114,1660,013419114,"FILTER BODY,FLUID",22572,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,90005,052460-03,PUROLATOR FACET INC. DIV HYDRAULIC AND AEROSPACE DIVISION DOING BUSINESS AS PUROLATOR,GREENSBORO,NC,A,,,,,,,,,,,,,as260723.txt
1660-01-571-5624,1660,015715624,"FAN,CENTRIFUGAL",04254,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,SD852,R4-L2R-20AC-GP,COOLER MASTER INC,TAIPEI,,A,,,,,,,,,,,,,as260723.txt
1660-01-665-6502,1660,016656502,"HOUSING,AIR OUTLET,AIRCRAFT",45159,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,70210,189386-2,HONEYWELL INTERNATIONAL INC.,TORRANCE,CA,A,,,,,,,,,,,,,as260723.txt
1680-00-226-2169,1680,002262169,"SWITCH ASSEMBLY,AUXILIARY",77777,SMS,false,,3,Z,,false,Sole source — manufacturer only,"$2,078.89",EA,0,U,Q,N,,X,77326,A49A,POLLAK JOSEPH CORP,CANTON,MA,A,,,,,,,,,,,,,as260723.txt
1680-00-453-7877,1680,004537877,"PARTS KIT,CYLINDER,CLUTCH AND BR",77777,SMS,false,,1,C,,true,"Competitive, restrictive terms",$463.74,EA,0,U,,,,,34087,KD30002200AF,KITCO LLC,PROVO,UT,A,,,,,,,,,,,,,as260723.txt
